,PC1,PC2
0,-838.9515915119362,-121.56168312400257
1,-846.6641657201883,-129.3344721976626
2,-593.6331842329485,-136.57095908000403
3,-581.4796356012704,-130.548612946773
4,-536.608599332326,-145.80934997617265
5,-518.13477062605,-144.51284493938925
6,-452.2039718042978,-102.2695834956696
7,-426.8504499078907,-100.39290960729579
8,-266.90230178832286,5.764895917046687
9,-170.00343268177747,81.50851030109484
10,-171.32418530446975,238.85561470424724
11,-148.41534497652717,250.83480642813515
12,-138.09920815294265,276.8033093758078
13,-122.3484312971364,264.4031462958774
14,-163.25463325823657,238.9547850054866
15,1145.9613520983148,-89.91948845228453
16,1124.625735178536,-94.77162108147726
17,1195.7780319886044,-78.04764540627619
18,1256.6421009296864,-45.49822509790897
19,1251.8666860011788,-37.887672622779235
